# Generado automaticamente por convertidor unificado v3 (KeyError fix)
# Motor1,Motor2,DuracionMs
0,7458,253
0,4978,254
0,7458,253
0,4186,254
0,7458,254
0,4978,253
0,5919,127
0,5919,126
0,4186,254
0,7458,254
0,4978,253
0,7458,253
0,4186,255
0,7458,253
0,4978,253
0,7458,254
0,7040,126
0,7040,127
0,6271,127
0,6271,127
0,4978,127
0,7040,126
0,6271,127
0,6271,127
19912,4186,253
0,7458,254
0,4978,254
0,5919,126
0,5919,127
0,4186,253
0,7458,254
0,4978,254
0,7458,253
19912,4186,253
0,7458,254
0,4978,254
0,7458,253
0,4186,253
0,7458,254
0,4978,254
0,7458,253
17739,4186,254
0,7458,253
0,4978,254
0,5919,127
0,5919,126
0,4186,254
0,7458,253
0,4978,253
0,7458,255
19912,4186,253
0,7458,127
17739,0,126
0,4978,127
0,7040,127
19912,7040,254
0,4978,126
0,4978,127
0,7040,253
0,4978,127
0,4978,127
0,6271,126
0,6271,128
22350,4186,253
0,7458,254
0,4978,253
19912,5919,127
0,5919,126
0,4186,254
0,7458,254
0,4978,253
0,7458,253
16744,4186,254
0,7458,254
0,4978,253
22350,7458,253
0,4186,255
0,7458,253
0,4978,253
0,7458,254
22350,4186,253
0,7458,254
0,4978,253
16744,5919,127
0,5919,127
0,4186,253
0,7458,254
0,4978,254
0,7458,253
13289,4186,253
0,7458,254
0,4978,254
14917,7458,253
0,4186,253
0,7458,254
0,4978,254
0,7458,253
22350,4186,254
0,7458,253
0,4978,254
16744,5919,127
0,5919,126
0,4186,254
0,7458,253
0,4978,253
0,7458,254
16744,4186,254
0,7458,253
0,4978,253
22350,7458,255
0,4186,253
0,7458,253
0,4978,254
0,7458,254
22350,4186,253
0,7458,253
0,4978,254
16744,5919,126
0,5919,127
0,4186,254
0,7458,254
0,4978,253
0,7458,253
19912,4186,254
0,7458,254
22350,4978,253
0,7458,253
0,7040,127
0,7040,128
0,6271,126
0,6271,127
0,4978,127
0,7040,126
0,6271,127
0,6271,127
14917,4186,253
0,7458,254
0,4978,253
13289,5919,127
0,5919,127
0,4186,253
0,7458,254
0,4978,253
0,7458,254
13289,4186,253
0,7458,254
0,4978,254
14917,7458,253
0,4186,253
0,7458,254
0,4978,254
0,7458,253
14917,4186,253
0,7458,254
0,4978,254
13289,5919,127
0,5919,126
0,4186,254
0,7458,253
0,4978,254
0,7458,253
13289,4186,254
0,7458,253
0,4978,253
14917,7458,255
0,4186,253
0,7458,253
0,4978,254
0,7458,254
14917,4186,253
0,7458,253
0,4978,254
13289,5919,126
0,5919,128
0,4186,253
0,7458,253
0,4978,254
0,7458,253
13289,4186,254
0,7458,254
0,4978,253
14917,7458,253
0,4186,254
0,7458,254
0,4978,253
0,7458,253
14917,4186,255
0,7458,253
0,4978,253
13289,5919,127
0,5919,127
0,4186,253
0,7458,254
0,4978,253
0,7458,254
13289,4186,253
0,7458,254
14917,4978,254
0,7458,253
0,4978,127
0,4978,126
0,7458,254
0,4978,127
0,4978,127
0,7458,253
22350,4186,253
0,7458,254
0,4978,254
13289,5919,126
0,5919,127
0,4186,253
0,7458,254
0,4978,254
0,7458,253
13289,4186,254
0,7458,253
0,4978,253
14917,7458,254
0,4186,254
0,7458,253
0,4978,253
0,7458,255
14917,4186,253
0,7458,253
0,4978,254
13289,5919,126
0,5919,128
